date,hospitalCases,newAdmissions,newCasesByPublishDate
2021-01-01,26389.0,3368.0,53285
2021-01-02,27561.0,3441.0,57725
2021-01-03,29033.0,3649.0,54990
2021-01-04,30775.0,3936.0,58784
2021-01-05,30686.0,4118.0,60916
2021-01-06,31946.0,4392.0,62322
2021-01-07,32583.0,4295.0,52618
2021-01-08,33778.0,3999.0,68053
2021-01-09,34032.0,4128.0,59937
2021-01-10,35391.0,3937.0,54940
2021-01-11,36751.0,4309.0,46169
2021-01-12,36981.0,4583.0,45533
2021-01-13,37487.0,4224.0,47525
2021-01-14,37691.0,4102.0,48682
2021-01-15,38132.0,3686.0,55761
2021-01-16,37715.0,3941.0,41346
2021-01-17,38169.0,3750.0,38598
2021-01-18,39254.0,4065.0,37535
2021-01-19,38846.0,4161.0,33355
2021-01-20,38739.0,4051.0,38905
2021-01-21,38059.0,3636.0,37892
2021-01-22,38257.0,3393.0,40261
2021-01-23,37398.0,3117.0,33552
2021-01-24,37730.0,3112.0,30004
2021-01-25,37756.0,2931.0,22195
2021-01-26,37101.0,3151.0,20089
2021-01-27,35513.0,3060.0,25308
2021-01-28,34909.0,3046.0,28680
2021-01-29,33847.0,2687.0,29079
2021-01-30,33015.0,2470.0,23275
2021-01-31,32586.0,2409.0,21088
2021-02-01,32960.0,2602.0,18607
2021-02-02,31766.0,2484.0,16840
2021-02-03,30604.0,2360.0,19202
2021-02-04,29413.0,2142.0,20634
2021-02-05,28383.0,2006.0,19114
2021-02-06,26914.0,1894.0,18262
2021-02-07,26800.0,1851.0,15845
2021-02-08,26744.0,1921.0,14104
2021-02-09,25689.0,1755.0,12364
2021-02-10,24417.0,1725.0,13013
2021-02-11,23411.0,1680.0,13494
2021-02-12,22324.0,1509.0,15144
2021-02-13,20970.0,1426.0,13308
2021-02-14,21054.0,1535.0,10972
2021-02-15,20994.0,1504.0,9765
2021-02-16,20215.0,1495.0,10625
2021-02-17,19449.0,1412.0,12718
2021-02-18,18522.0,1339.0,12057
2021-02-19,17860.0,1273.0,12027
2021-02-20,17042.0,1092.0,10406
2021-02-21,16857.0,1157.0,9834
2021-02-22,16855.0,1119.0,10641
2021-02-23,16115.0,1121.0,8489
2021-02-24,15534.0,1022.0,9938
2021-02-25,14849.0,969.0,9985
2021-02-26,14077.0,864.0,8523
2021-02-27,13269.0,742.0,7434
2021-02-28,12788.0,769.0,6035
2021-03-01,12894.0,823.0,5455
2021-03-02,12139.0,834.0,6391
2021-03-03,11523.0,713.0,6385
2021-03-04,10933.0,704.0,6573
2021-03-05,10312.0,599.0,5947
2021-03-06,9711.0,638.0,6040
2021-03-07,9459.0,536.0,5177
2021-03-08,9474.0,576.0,4712
2021-03-09,9009.0,579.0,5766
2021-03-10,8436.0,567.0,5926
2021-03-11,8066.0,550.0,6753
2021-03-12,7728.0,482.0,6609
2021-03-13,7384.0,462.0,5534
2021-03-14,7315.0,428.0,4618
2021-03-15,7207.0,503.0,5089
2021-03-16,6847.0,442.0,5294
2021-03-17,6585.0,445.0,5758
2021-03-18,6150.0,451.0,6303
2021-03-19,5880.0,380.0,4802
2021-03-20,5567.0,364.0,5587
2021-03-21,5448.0,358.0,5312
2021-03-22,5431.0,361.0,5342
2021-03-23,5150.0,367.0,5379
2021-03-24,4880.0,348.0,5605
2021-03-25,4583.0,340.0,6397
2021-03-26,4485.0,298.0,6187
2021-03-27,4436.0,273.0,4715
2021-03-28,4185.0,272.0,3862
2021-03-29,4197.0,252.0,4654
2021-03-30,3976.0,256.0,4040
2021-03-31,3742.0,269.0,4052
2021-04-01,3557.0,233.0,4479
2021-04-02,3376.0,238.0,3402
2021-04-03,3244.0,223.0,3423
2021-04-04,3229.0,197.0,2297
2021-04-05,3255.0,238.0,2762
2021-04-06,3143.0,224.0,2379
2021-04-07,3019.0,234.0,2763
2021-04-08,2872.0,208.0,3030
2021-04-09,2793.0,205.0,3150
2021-04-10,2650.0,187.0,2589
2021-04-11,2549.0,204.0,1730
2021-04-12,2492.0,207.0,3568
2021-04-13,2408.0,181.0,2472
2021-04-14,2295.0,196.0,2491
2021-04-15,2195.0,161.0,2672
2021-04-16,2140.0,158.0,2596
2021-04-17,2035.0,158.0,2206
2021-04-18,1983.0,141.0,1882
2021-04-19,2007.0,177.0,2963
2021-04-20,1926.0,136.0,2524
2021-04-21,1893.0,172.0,2396
2021-04-22,1791.0,120.0,2729
2021-04-23,1749.0,155.0,2678
2021-04-24,1673.0,129.0,2061
2021-04-25,1626.0,138.0,1712
2021-04-26,1649.0,134.0,2064
2021-04-27,1572.0,167.0,2685
2021-04-28,1515.0,112.0,2166
2021-04-29,1464.0,101.0,2445
2021-04-30,1366.0,110.0,2381
2021-05-01,1287.0,101.0,1907
2021-05-02,1285.0,120.0,1671
2021-05-03,1303.0,123.0,1649
2021-05-04,1295.0,102.0,1946
2021-05-05,1238.0,118.0,2144
2021-05-06,1159.0,120.0,2613
2021-05-07,1157.0,105.0,2490
2021-05-08,1137.0,109.0,2047
2021-05-09,1118.0,104.0,1770
2021-05-10,1129.0,104.0,2357
2021-05-11,1106.0,110.0,2474
2021-05-12,1068.0,119.0,2284
2021-05-13,1001.0,107.0,2657
2021-05-14,976.0,93.0,2193
2021-05-15,966.0,91.0,2027
2021-05-16,941.0,80.0,1926
2021-05-17,943.0,102.0,1979
2021-05-18,898.0,128.0,2412
2021-05-19,918.0,127.0,2696
2021-05-20,912.0,132.0,2874
2021-05-21,922.0,124.0,2829
2021-05-22,887.0,120.0,2694
2021-05-23,924.0,114.0,2235
2021-05-24,960.0,139.0,2439
2021-05-25,921.0,133.0,2493
2021-05-26,895.0,132.0,3180
2021-05-27,872.0,127.0,3542
2021-05-28,886.0,140.0,4182
2021-05-29,887.0,104.0,3398
2021-05-30,907.0,112.0,3240
2021-05-31,929.0,124.0,3383
2021-06-01,930.0,154.0,3165
2021-06-02,961.0,128.0,4330
2021-06-03,938.0,126.0,5274
2021-06-04,965.0,123.0,6238
2021-06-05,938.0,126.0,5765
2021-06-06,964.0,154.0,5341
2021-06-07,1035.0,175.0,5683
2021-06-08,1057.0,190.0,6048
2021-06-09,1064.0,193.0,7540
2021-06-10,1095.0,201.0,7393
2021-06-11,1077.0,179.0,8125
2021-06-12,1106.0,177.0,7738
2021-06-13,1141.0,222.0,7490
2021-06-14,1182.0,228.0,7742
2021-06-15,1233.0,232.0,7673
2021-06-16,1258.0,229.0,9055
2021-06-17,1323.0,242.0,11007
2021-06-18,1365.0,238.0,10476
2021-06-19,1350.0,212.0,10321
2021-06-20,1385.0,206.0,9284
2021-06-21,1519.0,228.0,10633
2021-06-22,1542.0,238.0,11625
2021-06-23,1496.0,277.0,16135
2021-06-24,1517.0,255.0,16703
2021-06-25,1538.0,255.0,15810
2021-06-26,1545.0,267.0,18270
2021-06-27,1606.0,267.0,14876
2021-06-28,1744.0,310.0,22868
2021-06-29,1747.0,368.0,20479
2021-06-30,1826.0,416.0,26068
2021-07-01,1936.0,372.0,27989
2021-07-02,2013.0,390.0,27125
2021-07-03,2057.0,392.0,24885
2021-07-04,2177.0,465.0,24248
2021-07-05,2363.0,517.0,27334
2021-07-06,2485.0,574.0,28773
2021-07-07,2680.0,569.0,32548
2021-07-08,2767.0,606.0,32551
2021-07-09,2938.0,556.0,35707
2021-07-10,3035.0,552.0,32367
2021-07-11,3181.0,593.0,31772
2021-07-12,3457.0,732.0,34471
2021-07-13,3672.0,751.0,36660
2021-07-14,3855.0,756.0,42302
2021-07-15,4036.0,772.0,48553
2021-07-16,4149.0,700.0,51870
2021-07-17,4229.0,709.0,54674
2021-07-18,4345.0,799.0,48161
2021-07-19,4649.0,874.0,39950
2021-07-20,4740.0,936.0,46558
2021-07-21,4928.0,928.0,44104
2021-07-22,5100.0,954.0,39906
2021-07-23,5310.0,864.0,36389
2021-07-24,5377.0,827.0,31795
2021-07-25,5646.0,941.0,29173
2021-07-26,6003.0,939.0,24950
2021-07-27,6095.0,916.0,23511
2021-07-28,6106.0,851.0,27734
2021-07-29,5985.0,837.0,31117
2021-07-30,6018.0,746.0,29622
2021-07-31,5957.0,674.0,26144
2021-08-01,5981.0,740.0,24470
2021-08-02,6214.0,785.0,21952
2021-08-03,6005.0,764.0,21691
2021-08-04,5791.0,835.0,29312
2021-08-05,5754.0,811.0,30215
2021-08-06,5751.0,779.0,31808
2021-08-07,5702.0,727.0,28612
2021-08-08,5856.0,744.0,27429
2021-08-09,6017.0,755.0,25161
2021-08-10,6019.0,891.0,23510
2021-08-11,6003.0,847.0,29612
2021-08-12,5958.0,860.0,33074
2021-08-13,5986.0,787.0,32700
2021-08-14,5882.0,787.0,29520
2021-08-15,6045.0,808.0,26750
2021-08-16,6382.0,870.0,28438
2021-08-17,6406.0,967.0,26852
2021-08-18,6464.0,909.0,33904
2021-08-19,6507.0,944.0,36572
2021-08-20,6518.0,869.0,37314
2021-08-21,6529.0,871.0,32058
2021-08-22,6747.0,832.0,32253
2021-08-23,7017.0,966.0,31914
2021-08-24,6959.0,998.0,30838
2021-08-25,6983.0,1031.0,35847
2021-08-26,7029.0,952.0,38281
2021-08-27,7081.0,939.0,38046
2021-08-28,6976.0,860.0,32406
2021-08-29,7107.0,852.0,33196
2021-08-30,7336.0,997.0,26476
2021-08-31,7675.0,997.0,32181
2021-09-01,7678.0,1077.0,35693
2021-09-02,7618.0,1001.0,38154
2021-09-03,7667.0,927.0,42076
2021-09-04,7552.0,949.0,37578
2021-09-05,7748.0,879.0,37011
2021-09-06,8034.0,1077.0,41192
2021-09-07,7977.0,1102.0,37489
2021-09-08,8132.0,1162.0,38975
2021-09-09,8141.0,1032.0,38013
2021-09-10,8312.0,921.0,37622
2021-09-11,8140.0,851.0,29547
2021-09-12,8250.0,862.0,29173
2021-09-13,8473.0,936.0,30825
2021-09-14,8394.0,945.0,26628
2021-09-15,8398.0,947.0,30597
2021-09-16,8114.0,889.0,26911
2021-09-17,7907.0,753.0,32651
2021-09-18,7697.0,759.0,30144
2021-09-19,7748.0,728.0,29612
2021-09-20,7800.0,810.0,36100
2021-09-21,7628.0,800.0,31564
2021-09-22,7420.0,753.0,34460
2021-09-23,7170.0,772.0,36710
2021-09-24,6918.0,723.0,35623
2021-09-25,6962.0,668.0,32468
2021-09-26,6822.0,666.0,32417
2021-09-27,7054.0,779.0,37960
2021-09-28,7035.0,769.0,34526
2021-09-29,6920.0,801.0,36722
2021-09-30,6774.0,692.0,36480
2021-10-01,6604.0,687.0,35577
2021-10-02,6455.0,693.0,30301
2021-10-03,6611.0,716.0,30439
2021-10-04,6800.0,799.0,35077
2021-10-05,6875.0,830.0,33869
2021-10-06,6860.0,774.0,39851
2021-10-07,6804.0,805.0,40701
2021-10-08,6780.0,780.0,41765
2021-10-09,6722.0,758.0,34950
2021-10-10,6891.0,720.0,34574
2021-10-11,7040.0,830.0,40224
2021-10-12,7057.0,920.0,38520
2021-10-13,7065.0,907.0,42776
2021-10-14,7115.0,893.0,45066
2021-10-15,7120.0,935.0,44932
2021-10-16,7142.0,869.0,43423
2021-10-17,7407.0,,45140
2021-10-18,7767.0,,49156
2021-10-19,7891.0,,43738
2021-10-20,,,49139
